S1_over_S0,S2_over_S0,S3_over_S0
-9.5153534787673e-18,1,4.84798718599957e-18
-3.1555345689236e-17,-0.206276960739255,-0.0544249373084791
7.29050888411627e-18,0.00175997300228709,0.00109362906247454
-7.2231709176649e-17,-5.45294640453161e-07,-7.37545153105677e-07
2.16611710992494e-17,2.55623738787926e-12,1.83597315983951e-11
8.85633658053575e-18,8.51999432292374e-18,-1.48776076637271e-17
-4.96602153254303e-17,-7.14535433169803e-25,1.3908421247709e-25
-1.03231455955186e-17,8.78544256953719e-34,1.12110045790133e-33
-3.21764683892987e-18,8.44124568841943e-44,-9.75532834722994e-44
8.25466047597178e-17,-3.62954654120911e-55,-4.04760098778531e-55
-7.84825025407717e-17,-1.04011243039954e-67,2.60805599346318e-68
-7.50305861280265e-17,-5.93310399768108e-82,8.0045527354157e-82
1.60803124553692e-16,-1.66227481883249e-97,4.06622199649949e-97
2.81105488863324e-16,-5.34290631202354e-114,7.56617591558066e-114
2.96002546326991e-17,-9.20598544944313e-132,1.99783170674901e-132
-6.74016137079925e-16,-2.18693541322046e-151,-4.11938287319705e-151
-6.86217090537795e-17,1.11887544821663e-171,-1.91707318755824e-172
1.17740500023302e-16,-9.65067160087455e-194,9.76165416909069e-194
9.00196929044372e-17,6.13846975926122e-217,-5.6440394330935e-217
1.77460699760773e-16,-2.57490502120796e-241,-2.85758450643949e-243
1.18994389886215e-15,2.48178720364074e-268,4.08517952817414e-267
1.4698162538668e-16,2.70162354522143e-294,2.05083675183316e-294
-1.75819303973636e-16,1.23516411460312e-322,8.39911597930119e-323
-2.47230114303822e-16,0,0
-8.86222575074687e-17,0,0
1.92194134062191e-16,0,0
4.2277894761796e-16,0,0
3.39626924909536e-17,0,0
-2.44297632067918e-16,0,0
-4.72071105215353e-16,0,0
-2.44142948395713e-16,0,0
-2.27843939095669e-16,0,0
3.61442940430496e-16,0,0
5.09768824386409e-16,0,0
5.30123908952929e-16,0,0
-2.46566773431875e-16,0,0
-7.36403553974062e-16,0,0
-1.84025959237688e-16,0,0
6.63701173565287e-18,0,0
7.28305859118582e-17,0,0
1.67176205629434e-16,0,0
-2.02486253954174e-16,0,0
-7.80472048381918e-17,0,0
9.51638189927803e-17,0,0
1.42906415196362e-16,0,0
2.06698535866907e-16,0,0
-1.77608231280804e-17,0,0
2.28715118699306e-16,0,0
3.33461955061437e-16,0,0
3.63432516845925e-16,0,0
-1.37113581862563e-16,0,0
1.89440751972557e-16,0,0
-6.12089262749236e-16,0,0
5.13314159354921e-16,0,0
8.04849121089865e-17,0,0
4.16108550104048e-16,0,0
5.24330458991591e-17,0,0
-9.30227986643589e-16,0,0
1.16195560276689e-16,0,0
-4.59235847769615e-16,0,0
7.05439658018214e-16,0,0
1.07481274685771e-16,0,0
2.14394555810939e-17,0,0
1.64368421252215e-16,0,0
-7.21681943238054e-16,0,0
7.6448382850798e-16,0,0
-4.21961989650684e-16,0,0
3.94086307774512e-16,0,0
9.44247597174649e-17,0,0
4.62122880938847e-16,0,0
-2.28124972237432e-16,0,0
-3.80010780231558e-16,0,0
6.25331280705024e-16,0,0
-4.49325625919164e-16,0,0
9.03089861291278e-16,0,0
-6.92181095669016e-16,0,0
2.76734044749391e-16,0,0
-1.46861214129287e-16,0,0
-1.74745625619813e-16,0,0
4.89025517435841e-16,0,0
-3.04944382671095e-15,0,0
1.66269065823172e-16,0,0
2.57014827393829e-15,0,0
2.49453046313823e-15,0,0
-4.10667993479364e-16,0,0
-2.90890912193775e-15,0,0
-2.02939187459852e-15,0,0
1.82031574959853e-15,0,0
2.54727277414615e-15,0,0
1.11365988354756e-15,0,0
-2.00202960962148e-15,0,0
-2.44373210308718e-15,0,0
-4.07635660468534e-16,0,0
1.91928079918513e-15,0,0
2.31280068402616e-15,0,0
-1.89648141454791e-16,0,0
-1.95788119570527e-15,0,0
-2.12619065411637e-15,0,0
2.10144707953613e-15,0,0
1.77448759995416e-15,0,0
1.67930252518352e-15,0,0
-6.52931627141309e-16,0,0
-1.8120655080934e-15,0,0
-4.33624447667934e-16,0,0
9.24936558801895e-16,0,0
2.33124383867539e-15,0,0
1.03334716693423e-15,0,0
-7.37749734660581e-16,0,0
-1.65898121578388e-15,0,0
-4.11897269141579e-16,0,0
1.26670841633728e-15,0,0
2.34350764567161e-15,0,0
1.09299817524636e-16,0,0
-1.90096063574023e-15,0,0
-2.08535265020415e-15,0,0
-8.08133606499061e-17,0,0
2.22380698012273e-15,0,0
1.44046542347667e-15,0,0
